"path_id"	"full_path_length"	"testable_path_length"	"mutated_genes"	"proportion_mutated"	"proportion_of_cohort_w_mutated_gene_in_path"	"Num_patient_with_mutated_gene_.s._in_path"	"count_of_mutated_genes_in_path_cross_cohort"	"max_in_one_gene"	"min_in_one_gene"	"hyperg_p_value"	"hyperg_p_w_FDR"
"Double-Strand Break Repair"	"Double-Strand Break Repair"	23	23	20	0.869565217391304	0.222879684418146	113	148	23	0	0.164401658401517	1
"Downregulation of SMAD2/3:SMAD4 transcriptional activity"	"Downregulation of SMAD2/3:SMAD4 transcriptional activity"	23	23	20	0.869565217391304	0.171597633136095	87	111	18	0	0.164401658401517	1
"Downstream signal transduction"	"Downstream signal transduction"	161	161	140	0.869565217391304	0.719921104536489	365	793	85	0	0.0192262861121941	0.574993368247646
"HDMs demethylate histones"	"HDMs demethylate histones"	23	23	20	0.869565217391304	0.16370808678501	83	99	12	0	0.164401658401517	1
"Incretin synthesis, secretion, and inactivation"	"Incretin synthesis, secretion, and inactivation"	23	23	20	0.869565217391304	0.0808678500986193	41	46	10	0	0.164401658401517	1
"Post-Elongation Processing of Intronless pre-mRNA"	"Post-Elongation Processing of Intronless pre-mRNA"	23	23	20	0.869565217391304	0.0848126232741617	43	50	8	0	0.164401658401517	1
"Processing of Capped Intronless Pre-mRNA"	"Processing of Capped Intronless Pre-mRNA"	23	23	20	0.869565217391304	0.0848126232741617	43	50	8	0	0.164401658401517	1
"Potassium Channels"	"Potassium Channels"	99	99	86	0.868686868686869	0.485207100591716	246	435	21	0	0.050951127580234	1
"Collagen degradation"	"Collagen degradation"	38	38	33	0.868421052631579	0.256410256410256	130	175	23	0	0.132008655897158	1
"Transport of vitamins, nucleosides, and related molecules"	"Transport of vitamins, nucleosides, and related molecules"	38	38	33	0.868421052631579	0.16370808678501	83	107	10	0	0.132008655897158	1
"Regulation of cholesterol biosynthesis by SREBP (SREBF)"	"Regulation of cholesterol biosynthesis by SREBP (SREBF)"	53	53	46	0.867924528301887	0.333333333333333	169	242	29	0	0.105807735785343	1
"Diseases of glycosylation"	"Diseases of glycosylation"	226	226	196	0.867256637168142	0.652859960552268	331	670	26	0	0.00982908956374495	0.331933587080758
"Developmental Biology"	"Developmental Biology"	519	519	450	0.867052023121387	0.940828402366864	477	2743	66	0	0.000213984486137631	0.00899229966054953
"Eicosanoid ligand-binding receptors"	"Eicosanoid ligand-binding receptors"	15	15	13	0.866666666666667	0.0631163708086785	32	36	7	0	0.196002164944112	1
"GRB2:SOS provides linkage to MAPK signaling for Integrins"	"GRB2:SOS provides linkage to MAPK signaling for Integrins"	15	15	13	0.866666666666667	0.171597633136095	87	103	19	0	0.196002164944112	1
"Glycogen synthesis"	"Glycogen synthesis"	15	15	13	0.866666666666667	0.0591715976331361	30	35	5	0	0.196002164944112	1
"HDACs deacetylate histones"	"HDACs deacetylate histones"	60	60	52	0.866666666666667	0.26232741617357	133	184	16	0	0.099789259790378	1
"MAPK targets/ Nuclear events mediated by MAP kinases"	"MAPK targets/ Nuclear events mediated by MAP kinases"	30	30	26	0.866666666666667	0.149901380670611	76	85	10	0	0.156894111161716	1
"Prolactin receptor signaling"	"Prolactin receptor signaling"	15	15	13	0.866666666666667	0.0887573964497041	45	48	9	0	0.196002164944112	1
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol"	"Synthesis of bile acids and bile salts via 27-hydroxycholesterol"	15	15	13	0.866666666666667	0.0927021696252465	47	52	8	0	0.196002164944112	1
"Viral Messenger RNA Synthesis"	"Viral Messenger RNA Synthesis"	45	45	39	0.866666666666667	0.218934911242604	111	151	11	0	0.124764259437897	1
"WNT5A-dependent internalization of FZD4"	"WNT5A-dependent internalization of FZD4"	15	15	13	0.866666666666667	0.0867850098619329	44	51	11	0	0.196002164944112	1
"negative regulation of TCF-dependent signaling by WNT ligand antagonists"	"negative regulation of TCF-dependent signaling by WNT ligand antagonists"	15	15	13	0.866666666666667	0.0749506903353057	38	42	14	0	0.196002164944112	1
"p130Cas linkage to MAPK signaling for integrins"	"p130Cas linkage to MAPK signaling for integrins"	15	15	13	0.866666666666667	0.165680473372781	84	100	19	0	0.196002164944112	1
"Assembly of the primary cilium"	"Assembly of the primary cilium"	179	179	155	0.865921787709497	0.619329388560158	314	710	28	0	0.0208315811298694	0.617351512877761
"Downstream signaling of activated FGFR"	"Downstream signaling of activated FGFR"	149	149	129	0.865771812080537	0.684418145956608	347	745	85	0	0.0310826973509043	0.87172932293746
"Activation of ATR in response to replication stress"	"Activation of ATR in response to replication stress"	37	37	32	0.864864864864865	0.195266272189349	99	107	20	0	0.148035483989247	1
"Signaling by FGFR"	"Signaling by FGFR"	162	162	140	0.864197530864197	0.684418145956608	347	774	85	0	0.0299204584029995	0.842750723830548
"CTLA4 inhibitory signaling"	"CTLA4 inhibitory signaling"	22	22	19	0.863636363636364	0.0966469428007889	49	56	7	0	0.188208367572282	1
"G-protein mediated events"	"G-protein mediated events"	44	44	38	0.863636363636364	0.368836291913215	187	273	25	0	0.138956815675109	1
"G2/M Checkpoints"	"G2/M Checkpoints"	44	44	38	0.863636363636364	0.224852071005917	114	129	20	0	0.138956815675109	1
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation"	"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation"	22	22	19	0.863636363636364	0.102564102564103	52	55	10	0	0.188208367572282	1
"Smooth Muscle Contraction"	"Smooth Muscle Contraction"	22	22	19	0.863636363636364	0.118343195266272	60	72	19	0	0.188208367572282	1
"Association of TriC/CCT with target proteins during biosynthesis"	"Association of TriC/CCT with target proteins during biosynthesis"	29	29	25	0.862068965517241	0.165680473372781	84	101	25	0	0.177179072687894	1
"CDO in myogenesis"	"CDO in myogenesis"	29	29	25	0.862068965517241	0.201183431952663	102	126	26	0	0.177179072687894	1
"Myogenesis"	"Myogenesis"	29	29	25	0.862068965517241	0.201183431952663	102	126	26	0	0.177179072687894	1
"SHC-mediated cascade"	"SHC-mediated cascade"	29	29	25	0.862068965517241	0.16370808678501	83	89	28	0	0.177179072687894	1
"EPH-Ephrin signaling"	"EPH-Ephrin signaling"	94	94	81	0.861702127659574	0.542406311637081	275	488	28	0	0.0796285304086178	1
"Processing of Capped Intron-Containing Pre-mRNA"	"Processing of Capped Intron-Containing Pre-mRNA"	144	144	124	0.861111111111111	0.435897435897436	221	396	11	0	0.0466325196955575	1
"Signaling by SCF-KIT"	"Signaling by SCF-KIT"	144	144	124	0.861111111111111	0.627218934911243	318	619	85	0	0.0466325196955575	1
"PLC beta mediated events"	"PLC beta mediated events"	43	43	37	0.86046511627907	0.366863905325444	186	269	25	0	0.154458307113891	1
"NGF signalling via TRKA from the plasma membrane"	"NGF signalling via TRKA from the plasma membrane"	206	206	177	0.859223300970874	0.733727810650888	372	920	85	0	0.0283379549037329	0.805118016139488
"Hedgehog 'on' state"	"Hedgehog 'on' state"	85	85	73	0.858823529411765	0.339250493096647	172	238	13	0	0.101182234663561	1
"Hedgehog 'off' state"	"Hedgehog 'off' state"	99	99	85	0.858585858585859	0.451676528599605	229	356	25	0	0.0881575420528988	1
"Acetylcholine Binding And Downstream Events"	"Acetylcholine Binding And Downstream Events"	14	14	12	0.857142857142857	0.0729783037475345	37	41	7	0	0.228997865336517	1
"Activation of Nicotinic Acetylcholine Receptors"	"Activation of Nicotinic Acetylcholine Receptors"	14	14	12	0.857142857142857	0.0729783037475345	37	41	7	0	0.228997865336517	1
"Adenylate cyclase inhibitory pathway"	"Adenylate cyclase inhibitory pathway"	14	14	12	0.857142857142857	0.179487179487179	91	108	25	0	0.228997865336517	1
"Attachment of GPI anchor to uPAR"	"Attachment of GPI anchor to uPAR"	7	7	6	0.857142857142857	0.0236686390532544	12	15	4	0	0.23224254874835	1
"Ca-dependent events"	"Ca-dependent events"	28	28	24	0.857142857142857	0.272189349112426	138	173	25	0	0.199586512555844	1
"Clearance of Nuclear Envelope Membranes from Chromatin"	"Clearance of Nuclear Envelope Membranes from Chromatin"	7	7	6	0.857142857142857	0.0236686390532544	12	12	3	0	0.23224254874835	1
"FGFR3b ligand binding and activation"	"FGFR3b ligand binding and activation"	7	7	6	0.857142857142857	0.0355029585798817	18	18	9	0	0.23224254874835	1
"Homologous DNA pairing and strand exchange"	"Homologous DNA pairing and strand exchange"	7	7	6	0.857142857142857	0.0690335305719921	35	38	16	0	0.23224254874835	1
"Inhibition of adenylate cyclase pathway"	"Inhibition of adenylate cyclase pathway"	14	14	12	0.857142857142857	0.179487179487179	91	108	25	0	0.228997865336517	1
"Interleukin-1 processing"	"Interleukin-1 processing"	7	7	6	0.857142857142857	0.0216962524654832	11	12	4	0	0.23224254874835	1
"Mitochondrial tRNA aminoacylation"	"Mitochondrial tRNA aminoacylation"	21	21	18	0.857142857142857	0.100591715976331	51	61	7	0	0.214872470563385	1
"Nectin/Necl  trans heterodimerization"	"Nectin/Necl  trans heterodimerization"	7	7	6	0.857142857142857	0.0355029585798817	18	20	5	0	0.23224254874835	1
"Netrin-1 signaling"	"Netrin-1 signaling"	42	42	36	0.857142857142857	0.353057199211045	179	272	23	0	0.171338455634719	1
"PP2A-mediated dephosphorylation of key metabolic factors"	"PP2A-mediated dephosphorylation of key metabolic factors"	7	7	6	0.857142857142857	0.0335305719921105	17	17	4	0	0.23224254874835	1
"Pentose phosphate pathway (hexose monophosphate shunt)"	"Pentose phosphate pathway (hexose monophosphate shunt)"	7	7	6	0.857142857142857	0.0236686390532544	12	12	4	0	0.23224254874835	1
"Postsynaptic nicotinic acetylcholine receptors"	"Postsynaptic nicotinic acetylcholine receptors"	14	14	12	0.857142857142857	0.0729783037475345	37	41	7	0	0.228997865336517	1
"Regulation of AMPK activity via LKB1"	"Regulation of AMPK activity via LKB1"	14	14	12	0.857142857142857	0.0690335305719921	35	36	5	0	0.228997865336517	1
"Regulation of IFNG signaling"	"Regulation of IFNG signaling"	14	14	12	0.857142857142857	0.0650887573964497	33	34	7	0	0.228997865336517	1
"Regulation of pyruvate dehydrogenase (PDH) complex"	"Regulation of pyruvate dehydrogenase (PDH) complex"	14	14	12	0.857142857142857	0.0611439842209073	31	32	6	0	0.228997865336517	1
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol"	"Synthesis of bile acids and bile salts via 24-hydroxycholesterol"	14	14	12	0.857142857142857	0.0690335305719921	35	39	7	0	0.228997865336517	1
"Ubiquinol biosynthesis"	"Ubiquinol biosynthesis"	7	7	6	0.857142857142857	0.0276134122287968	14	14	6	0	0.23224254874835	1
"Peptide hormone metabolism"	"Peptide hormone metabolism"	83	83	71	0.855421686746988	0.319526627218935	162	245	14	0	0.119782848618625	1
"EPH-ephrin mediated repulsion of cells"	"EPH-ephrin mediated repulsion of cells"	48	48	41	0.854166666666667	0.335305719921105	170	240	24	0	0.174992121729833	1
"Signaling by WNT in cancer"	"Signaling by WNT in cancer"	212	212	181	0.85377358490566	0.666666666666667	338	738	53	0	0.0435809305056202	1
"DAP12 signaling"	"DAP12 signaling"	164	164	140	0.853658536585366	0.70414201183432	357	787	85	0	0.0648580593097794	1
"G alpha (12/13) signalling events"	"G alpha (12/13) signalling events"	75	75	64	0.853333333333333	0.514792899408284	261	428	85	0	0.140204834093392	1
"TRAF6 Mediated Induction of proinflammatory cytokines"	"TRAF6 Mediated Induction of proinflammatory cytokines"	75	75	64	0.853333333333333	0.305719921104536	155	224	10	0	0.140204834093392	1
"PI3K Cascade"	"PI3K Cascade"	68	68	58	0.852941176470588	0.382642998027613	194	269	85	0	0.151339112258078	1
"Signalling to RAS"	"Signalling to RAS"	34	34	29	0.852941176470588	0.199211045364892	101	117	28	0	0.205991654861958	1
"Glycolysis"	"Glycolysis"	27	27	23	0.851851851851852	0.108481262327416	55	61	5	0	0.224235759800447	1
"Phospholipase C-mediated cascade"	"Phospholipase C-mediated cascade"	54	54	46	0.851851851851852	0.372781065088757	189	264	25	0	0.177232137831357	1
"Recycling pathway of L1"	"Recycling pathway of L1"	27	27	23	0.851851851851852	0.179487179487179	91	107	16	0	0.224235759800447	1
"Transport of Mature Transcript to Cytoplasm"	"Transport of Mature Transcript to Cytoplasm"	54	54	46	0.851851851851852	0.222879684418146	113	163	11	0	0.177232137831357	1
"Assembly of the pre-replicative complex"	"Assembly of the pre-replicative complex"	67	67	57	0.850746268656716	0.21301775147929	108	132	8	0	0.164691636233102	1
"Cell-cell junction organization"	"Cell-cell junction organization"	60	60	51	0.85	0.390532544378698	198	295	27	0	0.178457550136657	1
"Formation of tubulin folding intermediates by CCT/TriC"	"Formation of tubulin folding intermediates by CCT/TriC"	20	20	17	0.85	0.0729783037475345	37	42	9	0	0.244593807408081	1
"Regulation of gene expression in beta cells"	"Regulation of gene expression in beta cells"	20	20	17	0.85	0.108481262327416	55	61	8	0	0.244593807408081	1
"Translocation of GLUT4 to the plasma membrane"	"Translocation of GLUT4 to the plasma membrane"	60	60	51	0.85	0.414201183431953	210	342	26	0	0.178457550136657	1
"mRNA Splicing"	"mRNA Splicing"	113	113	96	0.849557522123894	0.353057199211045	179	281	10	0	0.1219150672484	1
"mRNA Splicing - Major Pathway"	"mRNA Splicing - Major Pathway"	113	113	96	0.849557522123894	0.353057199211045	179	281	10	0	0.1219150672484	1
"Hemostasis"	"Hemostasis"	497	497	422	0.849094567404427	0.95069033530572	482	2378	257	0	0.0105147409451145	0.350846153636923
"Constitutive PI3K/AKT Signaling in Cancer"	"Constitutive PI3K/AKT Signaling in Cancer"	86	86	73	0.848837209302326	0.469428007889546	238	379	85	0	0.152791560505084	1
"Metabolism of steroid hormones and vitamin D"	"Metabolism of steroid hormones and vitamin D"	33	33	28	0.848484848484849	0.216962524654832	110	133	36	0	0.228878045871055	1
"Post-Elongation Processing of Intron-Containing pre-mRNA"	"Post-Elongation Processing of Intron-Containing pre-mRNA"	33	33	28	0.848484848484849	0.112426035502959	57	71	6	0	0.228878045871055	1
"Sialic acid metabolism"	"Sialic acid metabolism"	33	33	28	0.848484848484849	0.118343195266272	60	70	6	0	0.228878045871055	1
"Steroid hormones"	"Steroid hormones"	33	33	28	0.848484848484849	0.216962524654832	110	133	36	0	0.228878045871055	1
"mRNA 3'-end processing"	"mRNA 3'-end processing"	33	33	28	0.848484848484849	0.112426035502959	57	71	6	0	0.228878045871055	1
"CaM pathway"	"CaM pathway"	26	26	22	0.846153846153846	0.254437869822485	129	163	25	0	0.251229765136078	1
"Calmodulin induced events"	"Calmodulin induced events"	26	26	22	0.846153846153846	0.254437869822485	129	163	25	0	0.251229765136078	1
"Cytosolic iron-sulfur cluster assembly"	"Cytosolic iron-sulfur cluster assembly"	13	13	11	0.846153846153846	0.0650887573964497	33	37	11	0	0.266742686950578	1
"Initiation of Nuclear Envelope Reformation"	"Initiation of Nuclear Envelope Reformation"	13	13	11	0.846153846153846	0.0512820512820513	26	26	7	0	0.266742686950578	1
"Insulin receptor recycling"	"Insulin receptor recycling"	26	26	22	0.846153846153846	0.0749506903353057	38	49	6	0	0.251229765136078	1
"Nuclear Envelope Reassembly"	"Nuclear Envelope Reassembly"	13	13	11	0.846153846153846	0.0512820512820513	26	26	7	0	0.266742686950578	1
"PCP/CE pathway"	"PCP/CE pathway"	91	91	77	0.846153846153846	0.317554240631164	161	237	12	0	0.164141559307597	1
"Platelet Adhesion to exposed collagen"	"Platelet Adhesion to exposed collagen"	13	13	11	0.846153846153846	0.0946745562130177	48	55	12	0	0.266742686950578	1
"Signaling by Activin"	"Signaling by Activin"	13	13	11	0.846153846153846	0.0769230769230769	39	40	10	0	0.266742686950578	1
"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"	"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)"	13	13	11	0.846153846153846	0.0473372781065089	24	27	10	0	0.266742686950578	1
"The NLRP3 inflammasome"	"The NLRP3 inflammasome"	13	13	11	0.846153846153846	0.0749506903353057	38	40	14	0	0.266742686950578	1
"p75NTR recruits signalling complexes"	"p75NTR recruits signalling complexes"	13	13	11	0.846153846153846	0.0591715976331361	30	34	9	0	0.266742686950578	1
"CDT1 association with the CDC6:ORC:origin complex"	"CDT1 association with the CDC6:ORC:origin complex"	58	58	49	0.844827586206897	0.173570019723866	88	102	8	0	0.211182455657952	1
"Hh ligand biogenesis disease"	"Hh ligand biogenesis disease"	58	58	49	0.844827586206897	0.16370808678501	83	102	8	0	0.211182455657952	1
"formation of the beta-catenin:TCF transactivating complex"	"formation of the beta-catenin:TCF transactivating complex"	58	58	49	0.844827586206897	0.414201183431953	210	287	53	0	0.211182455657952	1
"O-linked glycosylation"	"O-linked glycosylation"	103	103	87	0.844660194174757	0.597633136094675	303	669	92	0	0.162186219373542	1
"Signaling by Interleukins"	"Signaling by Interleukins"	109	109	92	0.844036697247706	0.516765285996055	262	428	85	0	0.160967515208608	1
"Hedgehog ligand biogenesis"	"Hedgehog ligand biogenesis"	64	64	54	0.84375	0.19723865877712	100	127	10	0	0.210189093230833	1
"Processing-defective Hh variants abrogate ligand secretion"	"Processing-defective Hh variants abrogate ligand secretion"	64	64	54	0.84375	0.19723865877712	100	127	10	0	0.210189093230833	1
"Regulation of beta-cell development"	"Regulation of beta-cell development"	32	32	27	0.84375	0.26232741617357	133	153	66	0	0.253657213423307	1
"Signaling by Wnt"	"Signaling by Wnt"	286	286	241	0.842657342657343	0.747534516765286	379	1026	53	0	0.072860186162954	1
"RNF mutants show enhanced WNT signaling and proliferation"	"RNF mutants show enhanced WNT signaling and proliferation"	190	190	160	0.842105263157895	0.652859960552268	331	695	53	0	0.11822180488946	1
"Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)"	"Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)"	114	114	96	0.842105263157895	0.50887573964497	258	455	32	0	0.170381752340864	1
"Synthesis of PC"	"Synthesis of PC"	19	19	16	0.842105263157895	0.0848126232741617	43	49	7	0	0.277547544095114	1
"TCF dependent signaling in response to WNT"	"TCF dependent signaling in response to WNT"	190	190	160	0.842105263157895	0.652859960552268	331	695	53	0	0.11822180488946	1
"XAV939 inhibits tankyrase, stabilizing AXIN"	"XAV939 inhibits tankyrase, stabilizing AXIN"	190	190	160	0.842105263157895	0.652859960552268	331	695	53	0	0.11822180488946	1
"misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling"	"misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling"	190	190	160	0.842105263157895	0.652859960552268	331	695	53	0	0.11822180488946	1
