"V1"
"NS1 Mediated Effects on Host Pathways"	"CPSF4 EIF2AK2 PABPN1"
"Defective MGAT2 causes MGAT2-CDG (CDG-2a)"	"CALR MVD CANX CTSA SAR1B SEC13 SEC23A SEC24A SEC24C SEC31A PRKCSH SLC17A5 SRD5A3 ALG1 ALG10 ALG10B ALG11 ALG13 ALG14 ALG2 ALG3 ALG5 ALG6 ALG8 ALG9 B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 CMAS DAD1 DOLK DOLPP1 DPAGT1 DPM1 DPM2 DPM3 EDEM1 EDEM2 EDEM3 FUT8 GANAB GFPT1 GFPT2 GLB1 GMPPA GMPPB GNE GNPNAT1 LMAN1 MAGT1 MAN1A1 MAN1A2 MAN1B1 MAN2A1 MAN2A2 MANEA MCFD2 MGAT1 MGAT2 MGAT4A MGAT4B MOGS MPDU1 NANP NANS NEU1 NEU2 NEU3 NEU4 NPL PGM3 PMM2 PREB RFT1 RPN1 RPN2 SLC35A1 ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST3GAL5 ST3GAL6 ST6GAL1 ST6GAL2 ST6GALNAC1 ST6GALNAC2 ST6GALNAC3 ST6GALNAC4 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA4 ST8SIA5 STT3A TUSC3 UAP1 UGGT2"
"Defective MMAA causes methylmalonic aciduria type cblA"	"ABCC1 CTRB1 CTRB2 PRSS1 ACACA ACACB FASN PRSS3 CYP8B1 PTGIS PTGS2 NAMPT MTR MTRR BTD HLCS MCCC1 MCCC2 PC PCCA PCCB PDZD11 SLC5A6 SHMT1 DHFR ABCD4 AMN CD320 CUBN GIF LMBRD1 MMAA MMAB MMACHC MMADHC MUT TCN1 TCN2 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT ACP5 AOX1 CYB5A DHFRL1 ENPP1 FLAD1 FPGS GPHN MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR NADK NADSYN1 NFS1 NMNAT1 NMNAT2 NMNAT3 PDXK PNPO QPRT RFK SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 THTPA TPK1"
"Defective MMAB causes methylmalonic aciduria type cblB"	"ABCC1 CTRB1 CTRB2 PRSS1 ACACA ACACB FASN PRSS3 CYP8B1 PTGIS PTGS2 NAMPT MTR MTRR BTD HLCS MCCC1 MCCC2 PC PCCA PCCB PDZD11 SLC5A6 SHMT1 DHFR ABCD4 AMN CD320 CUBN GIF LMBRD1 MMAA MMAB MMACHC MMADHC MUT TCN1 TCN2 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT ACP5 AOX1 CYB5A DHFRL1 ENPP1 FLAD1 FPGS GPHN MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR NADK NADSYN1 NFS1 NMNAT1 NMNAT2 NMNAT3 PDXK PNPO QPRT RFK SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 THTPA TPK1"
"Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC"	"ABCC1 CTRB1 CTRB2 PRSS1 ACACA ACACB FASN PRSS3 CYP8B1 PTGIS PTGS2 NAMPT MTR MTRR BTD HLCS MCCC1 MCCC2 PC PCCA PCCB PDZD11 SLC5A6 SHMT1 DHFR ABCD4 AMN CD320 CUBN GIF LMBRD1 MMAA MMAB MMACHC MMADHC MUT TCN1 TCN2 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT ACP5 AOX1 CYB5A DHFRL1 ENPP1 FLAD1 FPGS GPHN MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR NADK NADSYN1 NFS1 NMNAT1 NMNAT2 NMNAT3 PDXK PNPO QPRT RFK SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 THTPA TPK1"
"Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD"	"ABCC1 CTRB1 CTRB2 PRSS1 ACACA ACACB FASN PRSS3 CYP8B1 PTGIS PTGS2 NAMPT MTR MTRR BTD HLCS MCCC1 MCCC2 PC PCCA PCCB PDZD11 SLC5A6 SHMT1 DHFR ABCD4 AMN CD320 CUBN GIF LMBRD1 MMAA MMAB MMACHC MMADHC MUT TCN1 TCN2 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT ACP5 AOX1 CYB5A DHFRL1 ENPP1 FLAD1 FPGS GPHN MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR NADK NADSYN1 NFS1 NMNAT1 NMNAT2 NMNAT3 PDXK PNPO QPRT RFK SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 THTPA TPK1"
"Defective MOGS causes MOGS-CDG (CDG-2b)"	"CALR MVD CANX CTSA SAR1B SEC13 SEC23A SEC24A SEC24C SEC31A PRKCSH SLC17A5 SRD5A3 ALG1 ALG10 ALG10B ALG11 ALG13 ALG14 ALG2 ALG3 ALG5 ALG6 ALG8 ALG9 B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 CMAS DAD1 DOLK DOLPP1 DPAGT1 DPM1 DPM2 DPM3 EDEM1 EDEM2 EDEM3 FUT8 GANAB GFPT1 GFPT2 GLB1 GMPPA GMPPB GNE GNPNAT1 LMAN1 MAGT1 MAN1A1 MAN1A2 MAN1B1 MAN2A1 MAN2A2 MANEA MCFD2 MGAT1 MGAT2 MGAT4A MGAT4B MOGS MPDU1 NANP NANS NEU1 NEU2 NEU3 NEU4 NPL PGM3 PMM2 PREB RFT1 RPN1 RPN2 SLC35A1 ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST3GAL5 ST3GAL6 ST6GAL1 ST6GAL2 ST6GALNAC1 ST6GALNAC2 ST6GALNAC3 ST6GALNAC4 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA4 ST8SIA5 STT3A TUSC3 UAP1 UGGT2"
"Defective MPDU1 causes MPDU1-CDG (CDG-1f)"	"CALR MVD CANX CTSA SAR1B SEC13 SEC23A SEC24A SEC24C SEC31A PRKCSH SLC17A5 SRD5A3 ALG1 ALG10 ALG10B ALG11 ALG13 ALG14 ALG2 ALG3 ALG5 ALG6 ALG8 ALG9 B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 CMAS DAD1 DOLK DOLPP1 DPAGT1 DPM1 DPM2 DPM3 EDEM1 EDEM2 EDEM3 FUT8 GANAB GFPT1 GFPT2 GLB1 GMPPA GMPPB GNE GNPNAT1 LMAN1 MAGT1 MAN1A1 MAN1A2 MAN1B1 MAN2A1 MAN2A2 MANEA MCFD2 MGAT1 MGAT2 MGAT4A MGAT4B MOGS MPDU1 NANP NANS NEU1 NEU2 NEU3 NEU4 NPL PGM3 PMM2 PREB RFT1 RPN1 RPN2 SLC35A1 ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST3GAL5 ST3GAL6 ST6GAL1 ST6GAL2 ST6GALNAC1 ST6GALNAC2 ST6GALNAC3 ST6GALNAC4 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA4 ST8SIA5 STT3A TUSC3 UAP1 UGGT2"
"Defective MTR causes methylmalonic aciduria and homocystinuria type cblG"	"ABCC1 CTRB1 CTRB2 PRSS1 ACACA ACACB FASN PRSS3 CYP8B1 PTGIS PTGS2 NAMPT MTR MTRR BTD HLCS MCCC1 MCCC2 PC PCCA PCCB PDZD11 SLC5A6 SHMT1 DHFR ABCD4 AMN CD320 CUBN GIF LMBRD1 MMAA MMAB MMACHC MMADHC MUT TCN1 TCN2 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT ACP5 AOX1 CYB5A DHFRL1 ENPP1 FLAD1 FPGS GPHN MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR NADK NADSYN1 NFS1 NMNAT1 NMNAT2 NMNAT3 PDXK PNPO QPRT RFK SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 THTPA TPK1"
"Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE"	"ABCC1 CTRB1 CTRB2 PRSS1 ACACA ACACB FASN PRSS3 CYP8B1 PTGIS PTGS2 NAMPT MTR MTRR BTD HLCS MCCC1 MCCC2 PC PCCA PCCB PDZD11 SLC5A6 SHMT1 DHFR ABCD4 AMN CD320 CUBN GIF LMBRD1 MMAA MMAB MMACHC MMADHC MUT TCN1 TCN2 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT ACP5 AOX1 CYB5A DHFRL1 ENPP1 FLAD1 FPGS GPHN MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR NADK NADSYN1 NFS1 NMNAT1 NMNAT2 NMNAT3 PDXK PNPO QPRT RFK SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 THTPA TPK1"
"Defective MUT causes methylmalonic aciduria mut type"	"ABCC1 CTRB1 CTRB2 PRSS1 ACACA ACACB FASN PRSS3 CYP8B1 PTGIS PTGS2 NAMPT MTR MTRR BTD HLCS MCCC1 MCCC2 PC PCCA PCCB PDZD11 SLC5A6 SHMT1 DHFR ABCD4 AMN CD320 CUBN GIF LMBRD1 MMAA MMAB MMACHC MMADHC MUT TCN1 TCN2 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT ACP5 AOX1 CYB5A DHFRL1 ENPP1 FLAD1 FPGS GPHN MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR NADK NADSYN1 NFS1 NMNAT1 NMNAT2 NMNAT3 PDXK PNPO QPRT RFK SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 THTPA TPK1"
"Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD)"	"NAT1 NAT2 GGT1 GGT3P GGT5 GGT7 MGST1 MGST2 MGST3 ACSM1 ACSM2A ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 HPGDS AHCY BPNT1 CNDP2 COMT GCLC GCLM GGCT GSS GSTA1 GSTA2 GSTA3 GSTA4 GSTA5 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 GSTP1 GSTT1 GSTT2 GSTT2B GSTZ1 MAT1A MAT2A MAT2B MTR MTRR NNMT OPLAH SLC26A1 SLC26A2 SLC35B2 SLC35B3 SLC35D1 SULT1A1 SULT1A2 SULT1A3 SULT1B1 SULT1C2 SULT1C4 SULT1E1 SULT2A1 TPMT UGP2 UGT1A1 UGT1A3 UGT1A4 UGT1A5 UGT1A6 UGT1A7 UGT1A8 UGT1A9 UGT2A1 UGT2B10 UGT2B11 UGT2B15 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective PAPSS2 causes SEMD-PA"	"AGRN B3GALT6 B3GAT1 B3GAT2 B3GAT3 B4GALT7 BCAN BGN CSPG5 DCN GPC1 GPC2 GPC3 GPC4 GPC5 GPC6 GXYLT1 GXYLT2 NCAN SDC1 SDC2 SDC4 VCAN ABCC5 B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 GLB1 ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST3GAL6 SLC26A1 SLC26A2 SLC35B2 SLC35B3 ARSB HEXB HYAL1 HYAL3 IDS IDUA CD44 CHPF CHPF2 CHST12 CHST13 CHST15 CHST3 CHST7 CHST9 CHSY1 CHSY3 CSGALNACT1 CSGALNACT2 DSE DSEL GNS ACAN B3GNT2 B3GNT3 B3GNT7 CHST1 CHST2 CHST5 CHST6 EXT1 EXT2 FMOD GLB1L GUSB HAS1 HAS2 HAS3 HMMR HPSE HS2ST1 HS3ST1 HS3ST2 HS3ST3A1 HS3ST3B1 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HS6ST3 HYAL2 KERA LUM LYVE1 NAGLU NDST1 NDST2 NDST4 OGN OMD PRELP SGSH SLC35D2"
"Defective RFT1 causes RFT1-CDG (CDG-1n)"	"CALR MVD CANX CTSA SAR1B SEC13 SEC23A SEC24A SEC24C SEC31A PRKCSH SLC17A5 SRD5A3 ALG1 ALG10 ALG10B ALG11 ALG13 ALG14 ALG2 ALG3 ALG5 ALG6 ALG8 ALG9 B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 CMAS DAD1 DOLK DOLPP1 DPAGT1 DPM1 DPM2 DPM3 EDEM1 EDEM2 EDEM3 FUT8 GANAB GFPT1 GFPT2 GLB1 GMPPA GMPPB GNE GNPNAT1 LMAN1 MAGT1 MAN1A1 MAN1A2 MAN1B1 MAN2A1 MAN2A2 MANEA MCFD2 MGAT1 MGAT2 MGAT4A MGAT4B MOGS MPDU1 NANP NANS NEU1 NEU2 NEU3 NEU4 NPL PGM3 PMM2 PREB RFT1 RPN1 RPN2 SLC35A1 ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST3GAL5 ST3GAL6 ST6GAL1 ST6GAL2 ST6GALNAC1 ST6GALNAC2 ST6GALNAC3 ST6GALNAC4 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA4 ST8SIA5 STT3A TUSC3 UAP1 UGGT2"
"Defective SLC26A2 causes chondrodysplasias"	"AGRN B3GALT6 B3GAT1 B3GAT2 B3GAT3 B4GALT7 BCAN BGN CSPG5 DCN GPC1 GPC2 GPC3 GPC4 GPC5 GPC6 GXYLT1 GXYLT2 NCAN SDC1 SDC2 SDC4 VCAN ABCC5 B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 GLB1 ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST3GAL6 SLC26A1 SLC26A2 SLC35B2 SLC35B3 ARSB HEXB HYAL1 HYAL3 IDS IDUA CD44 CHPF CHPF2 CHST12 CHST13 CHST15 CHST3 CHST7 CHST9 CHSY1 CHSY3 CSGALNACT1 CSGALNACT2 DSE DSEL GNS ACAN B3GNT2 B3GNT3 B3GNT7 CHST1 CHST2 CHST5 CHST6 EXT1 EXT2 FMOD GLB1L GUSB HAS1 HAS2 HAS3 HMMR HPSE HS2ST1 HS3ST1 HS3ST2 HS3ST3A1 HS3ST3B1 HS3ST4 HS3ST5 HS3ST6 HS6ST2 HS6ST3 HYAL2 KERA LUM LYVE1 NAGLU NDST1 NDST2 NDST4 OGN OMD PRELP SGSH SLC35D2"
"Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD)"	"NAT1 NAT2 GGT1 GGT3P GGT5 GGT7 MGST1 MGST2 MGST3 ACSM1 ACSM2A ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 HPGDS AHCY BPNT1 CNDP2 COMT GCLC GCLM GGCT GSS GSTA1 GSTA2 GSTA3 GSTA4 GSTA5 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 GSTP1 GSTT1 GSTT2 GSTT2B GSTZ1 MAT1A MAT2A MAT2B MTR MTRR NNMT OPLAH SLC26A1 SLC26A2 SLC35B2 SLC35B3 SLC35D1 SULT1A1 SULT1A2 SULT1A3 SULT1B1 SULT1C2 SULT1C4 SULT1E1 SULT2A1 TPMT UGP2 UGT1A1 UGT1A3 UGT1A4 UGT1A5 UGT1A6 UGT1A7 UGT1A8 UGT1A9 UGT2A1 UGT2B10 UGT2B11 UGT2B15 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD)"	"CYP51A1 NCOA1 NCOA2 RXRA CYP2A13 CYP3A4 CYP3A5 MAOA MAOB PAOX SMOX POMC CYP1B1 CYP2J2 CYP4A11 CYP4A22 CYP4B1 CYP4F11 CYP4F2 CYP4F22 CYP4F3 CYP4F8 CYP8B1 PTGIS PTGS1 TBXAS1 CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 NR1H4 ACSS1 ACSS2 ALDH1A1 CYP11B1 CYP11B2 CYP19A1 CYP21A2 CYP24A1 CYP26B1 CYP27B1 CYP2A6 CYP2A7 CYP2B6 CYP2E1 CYP2F1 CYP2R1 CYP2S1 CYP2W1 CYP3A43 CYP3A7 CYP4F12 FDX1 FDX1L FDXR FMO1 FMO2 FMO3"
"Defective TCN2 causes hereditary megaloblastic anemia"	"ABCC1 CTRB1 CTRB2 PRSS1 ACACA ACACB FASN PRSS3 CYP8B1 PTGIS PTGS2 NAMPT MTR MTRR BTD HLCS MCCC1 MCCC2 PC PCCA PCCB PDZD11 SLC5A6 SHMT1 DHFR ABCD4 AMN CD320 CUBN GIF LMBRD1 MMAA MMAB MMACHC MMADHC MUT TCN1 TCN2 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT ACP5 AOX1 CYB5A DHFRL1 ENPP1 FLAD1 FPGS GPHN MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR NADK NADSYN1 NFS1 NMNAT1 NMNAT2 NMNAT3 PDXK PNPO QPRT RFK SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 THTPA TPK1"
"Defective TPMT causes Thiopurine S-methyltransferase deficiency (TPMT deficiency)"	"NAT1 NAT2 GGT1 GGT3P GGT5 GGT7 MGST1 MGST2 MGST3 ACSM1 ACSM2A ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 HPGDS AHCY BPNT1 CNDP2 COMT GCLC GCLM GGCT GSS GSTA1 GSTA2 GSTA3 GSTA4 GSTA5 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 GSTP1 GSTT1 GSTT2 GSTT2B GSTZ1 MAT1A MAT2A MAT2B MTR MTRR NNMT OPLAH SLC26A1 SLC26A2 SLC35B2 SLC35B3 SLC35D1 SULT1A1 SULT1A2 SULT1A3 SULT1B1 SULT1C2 SULT1C4 SULT1E1 SULT2A1 TPMT UGP2 UGT1A1 UGT1A3 UGT1A4 UGT1A5 UGT1A6 UGT1A7 UGT1A8 UGT1A9 UGT2A1 UGT2B10 UGT2B11 UGT2B15 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective UGT1A1 causes hyperbilirubinemia"	"NAT1 NAT2 GGT1 GGT3P GGT5 GGT7 MGST1 MGST2 MGST3 ACSM1 ACSM2A ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 HPGDS AHCY BPNT1 CNDP2 COMT GCLC GCLM GGCT GSS GSTA1 GSTA2 GSTA3 GSTA4 GSTA5 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 GSTP1 GSTT1 GSTT2 GSTT2B GSTZ1 MAT1A MAT2A MAT2B MTR MTRR NNMT OPLAH SLC26A1 SLC26A2 SLC35B2 SLC35B3 SLC35D1 SULT1A1 SULT1A2 SULT1A3 SULT1B1 SULT1C2 SULT1C4 SULT1E1 SULT2A1 TPMT UGP2 UGT1A1 UGT1A3 UGT1A4 UGT1A5 UGT1A6 UGT1A7 UGT1A8 UGT1A9 UGT2A1 UGT2B10 UGT2B11 UGT2B15 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defective UGT1A4 causes hyperbilirubinemia"	"NAT1 NAT2 GGT1 GGT3P GGT5 GGT7 MGST1 MGST2 MGST3 ACSM1 ACSM2A ACSM2B ACSM4 ACSM5 GLYAT GLYATL1 GLYATL2 HPGDS AHCY BPNT1 CNDP2 COMT GCLC GCLM GGCT GSS GSTA1 GSTA2 GSTA3 GSTA4 GSTA5 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 GSTP1 GSTT1 GSTT2 GSTT2B GSTZ1 MAT1A MAT2A MAT2B MTR MTRR NNMT OPLAH SLC26A1 SLC26A2 SLC35B2 SLC35B3 SLC35D1 SULT1A1 SULT1A2 SULT1A3 SULT1B1 SULT1C2 SULT1C4 SULT1E1 SULT2A1 TPMT UGP2 UGT1A1 UGT1A3 UGT1A4 UGT1A5 UGT1A6 UGT1A7 UGT1A8 UGT1A9 UGT2A1 UGT2B10 UGT2B11 UGT2B15 UGT2B17 UGT2B28 UGT2B4 UGT2B7"
"Defects in biotin (Btn) metabolism"	"ABCC1 CTRB1 CTRB2 PRSS1 ACACA ACACB FASN PRSS3 CYP8B1 PTGIS PTGS2 NAMPT MTR MTRR BTD HLCS MCCC1 MCCC2 PC PCCA PCCB PDZD11 SLC5A6 SHMT1 DHFR ABCD4 AMN CD320 CUBN GIF LMBRD1 MMAA MMAB MMACHC MMADHC MUT TCN1 TCN2 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT ACP5 AOX1 CYB5A DHFRL1 ENPP1 FLAD1 FPGS GPHN MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR NADK NADSYN1 NFS1 NMNAT1 NMNAT2 NMNAT3 PDXK PNPO QPRT RFK SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 THTPA TPK1"
"Defects in cobalamin (B12) metabolism"	"ABCC1 CTRB1 CTRB2 PRSS1 ACACA ACACB FASN PRSS3 CYP8B1 PTGIS PTGS2 NAMPT MTR MTRR BTD HLCS MCCC1 MCCC2 PC PCCA PCCB PDZD11 SLC5A6 SHMT1 DHFR ABCD4 AMN CD320 CUBN GIF LMBRD1 MMAA MMAB MMACHC MMADHC MUT TCN1 TCN2 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT ACP5 AOX1 CYB5A DHFRL1 ENPP1 FLAD1 FPGS GPHN MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR NADK NADSYN1 NFS1 NMNAT1 NMNAT2 NMNAT3 PDXK PNPO QPRT RFK SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 THTPA TPK1"
"Defects in vitamin and cofactor metabolism"	"ABCC1 CTRB1 CTRB2 PRSS1 ACACA ACACB FASN PRSS3 CYP8B1 PTGIS PTGS2 NAMPT MTR MTRR BTD HLCS MCCC1 MCCC2 PC PCCA PCCB PDZD11 SLC5A6 SHMT1 DHFR ABCD4 AMN CD320 CUBN GIF LMBRD1 MMAA MMAB MMACHC MMADHC MUT TCN1 TCN2 COASY PANK2 PANK3 PANK4 PPCS SLC25A16 AASDHPPT ACP5 AOX1 CYB5A DHFRL1 ENPP1 FLAD1 FPGS GPHN MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR NADK NADSYN1 NFS1 NMNAT1 NMNAT2 NMNAT3 PDXK PNPO QPRT RFK SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 THTPA TPK1"
"Defensins"	"TLR1 TLR2 PRSS2 CD4 ART1 DEFA1 DEFA3 DEFA4 DEFA5 DEFA6 PRSS3 CCR2 CCR6 DEFB1 DEFB103A DEFB104A DEFB105A DEFB106A DEFB107A DEFB108B DEFB110 DEFB112 DEFB113 DEFB114 DEFB115 DEFB116 DEFB118 DEFB119 DEFB121 DEFB123 DEFB124 DEFB125 DEFB126 DEFB127 DEFB128 DEFB129 DEFB130 DEFB131 DEFB132 DEFB133 DEFB134 DEFB135 DEFB136 DEFB4A"
"Degradation of GABA"	"ABAT ALDH5A1"
"Degradation of GLI1 by the proteasome"	"RPS27A UBA52 CUL1 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 SKP1 UBB UBC ITCH NUMB PRKACA PRKACB PRKACG GLI1 SUFU"
"Degradation of GLI2 by the proteasome"	"RPS27A UBA52 GSK3B CSNK1A1 CUL1 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 SKP1 UBB UBC PRKACA PRKACB PRKACG SUFU GLI2"
"Degradation of beta-catenin by the destruction complex"	"RPS27A UBA52 GSK3B AES AMER1 APC AXIN1 AXIN2 CSNK1A1 CTBP1 CTBP2 CTNNB1 CUL1 HDAC1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA8 PSMB1 PSMB10 PSMB11 PSMB2 PSMB3 PSMB4 PSMB5 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSME1 PSME2 PSME3 PSME4 PSMF1 SKP1 TCF7 TCF7L1 TCF7L2 TLE1 TLE2 TLE4 UBB UBC"
"Degradation of cysteine and homocysteine"	"SLC25A10 CTH CDO1 CSAD SQRDL SUOX"
"Degradation of the extracellular matrix"	"BCAN DCN NCSTN CASP3 CMA1 COL18A1 CTRB1 CTRB2 CTSG CTSK ELANE FURIN KLK2 KLKB1 MMP1 MMP10 MMP11 MMP13 MMP14 MMP15 MMP16 MMP2 MMP24 MMP25 MMP3 MMP7 MMP8 MMP9 PLG PRSS1 PRSS2 TIMP1 TIMP2 TPSAB1 CDH1 CTSB CTSD CTSS BMP1 LAMA3 LAMB3 LAMC2 TLL1 COL15A1 MMP20 COL9A1 COL9A2 LAMB1 LAMC1 BSG CD44 COL12A1 COL13A1 COL14A1 COL16A1 COL19A1 COL23A1 COL26A1 ADAM9 MMP12 MMP19 ACAN A2M ADAM15 ADAM8 ADAMTS16 ADAMTS18 ADAMTS4 ADAMTS8 ADAMTS9 CAPN1 CAPNS1 KLK7 NID1 PSEN1 SPP1"
"Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels"	"CACNA2D2 CACNB2 CACNB3 CACNB1 CACNB4 CACNA1A CACNA1B CACNA1E CACNA2D1 CACNA2D3 CACNG2 CACNG4"
"Depolymerisation of the Nuclear Lamina"	"CCNB1 CDK1 PRKCA PRKCB LMNA LMNB1 CNEP1R1 EMD LEMD2 LEMD3 LPIN1 LPIN2 LPIN3 TMPO"
