"V1"
"2-LTR circle formation"	"XRCC4"
"MPS IIID - Sanfilippo syndrome D"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"MPS IV - Morquio syndrome A"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"MPS IV - Morquio syndrome B"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"MPS IX - Natowicz syndrome"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"MPS VI - Maroteaux-Lamy syndrome"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"MPS VII - Sly syndrome"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"MRN complex relocalizes to nuclear foci"	"RAD50"
"Meiosis"	"BRCA1 HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB RAD50 HSPA2 BRCA2 DIDO1 MND1 MSH4 POT1 RAD21 RBBP8 SMC3 STAG3 SYCE2 SYCP2 SYNE1 SYNE2 TINF2"
"Meiotic recombination"	"BRCA1 HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB RAD50 BRCA2 MND1 MSH4 RBBP8"
"Meiotic synapsis"	"BRCA1 HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB HSPA2 DIDO1 POT1 RAD21 SMC3 STAG3 SYCE2 SYCP2 SYNE1 SYNE2 TINF2"
"Membrane Trafficking"	"RPS27A AKT1 SFN CALM1 PRKAG3 RAC1 AP1G1 CLTA DNM2 KIF3B LNPEP SEC24B SEC24C EXOC1 CLTCL1 BLOC1S6 ARCN1 ARFGAP1 COPA COPB1 COPG1 AP3B1 AP4E1 BLOC1S3 CLINT1 DNAJC6 GAK IGF2R RAB5C SNX5 TGOLN2 STAM SNF8 MYH2 MYO1C MYO5A GJA9 GJB3 ASPSCR1 C2CD5 MYH1 MYH3 MYH6 MYH7 MYH7B RALGAPA2 TBC1D1"
"Membrane binding and targetting of GAG proteins"	"RPS27A"
"Metabolic disorders of biological oxidation enzymes"	"GNB2 GNB3 GNG8 CCL2 NAT1 APP C5 PTCH1 NCOA2 RHO ADRA2C ADRA1D AKR7L GGT1 GGT6 DRD2 DRD3 HTR2A ACSM2A POMC GNAS CYP2C9 CYP4A11 CYP4A22 CYP4F8 PTGIS FZD3 CYP7B1 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2 GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11 CALCRL CCR1 CCR3 CCRL2 CXCR3 XCL1 AGTR1 AVPR1A C5AR2 CCKAR CNR1 F2RL3 GAL GALR2 GHSR GPR132 GPR17 GPR37L1 GPR55 HCAR3 HCRTR2 KNG1 LHCGR LPAR4 MC2R MC3R MC5R MLN MLNR NMUR1 NMUR2 NPY5R OPN3 OPN5 OPRL1 P2RY13 PTGER2 PTGER3 RXFP3 S1PR4 SSTR4 PTCH2 PTH2R WNT2 GPRC6A GRM3 GRM5 GRM6 GRM7 GRM8 TAS2R16 TAS2R46 TAS2R60"
"Metabolism"	"RPS27A PRPS1 PRPS1L1 B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ABCB1 ABCB7 ABCC3 ABCG1 ABCG8 GNA15 GNB2 GNB3 GNG8 PLA2G4A AKT1 PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 NFYC MBTPS1 ADAL ABCG2 NAT1 SNAP25 STX1A PLCB1 PLCB2 PRKCA CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB ACACB CHD9 CREBBP FASN GPAM HMGCR LSS MVK NCOA2 SMARCD3 TBL1XR1 LCLAT1 LPCAT1 PLA2G4D PLA2G4E PNPLA8 MBOAT7 DNM2 INPP5D ITPR2 ITPR3 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RAPGEF3 SEC24B SEC24C ADRA2C CACNA1C CACNB3 AKR7L GGT1 GGT6 HACL1 SLC44A1 SLC44A2 ASMT DBH PNMT TH ACSM2A ALDH18A1 GLS2 POMC SRD5A3 NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR GNAS PRKAR1A ALOX15B CYP2C9 CYP4A11 CYP4A22 CYP4F8 EPHX2 GPX1 PTGIS NEU2 ST3GAL3 EP300 WASL CLOCK NCOR1 NPAS2 RORA POLD1 ACADS ACADM ACADVL CROT ABCB11 ALB CYP7B1 SLC10A2 APOB STAB2 ACSS1 ADH1C CYP11A1 CYP11B1 CYP2R1 CYP4F12 FDXR FMO2 GSTA3 MTR PAPSS1 SLC26A2 SULT1A2 SULT1C4 UGT2B10 UGT2B11 MCCC1 PC PCCA BCKDHB HIBADH ARSB HEXA LPIN3 TIAM2 CD44 IQGAP1 CA9 CAT P4HB ACLY CHPF2 CHST11 CHST15 CSGALNACT1 NCOR2 LDLR DLST SDHA SDHC SUCLG2 CUBN LMBRD1 CKB INPPL1 BRIP1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2 CACNA1E GCK MED11 MED12 MED13 MED29 NCOA3 LCT MGAM SI AGL G6PC3 GAPDHS GCKR GYG2 HK3 LRP2 MTMR4 NHLRC1 PFKFB1 PGK1 PHKA2 PHKG2 PYGM RPE SLC5A2 SLC5A9 WWTR1 CA4 ACSL1 ACSL4 TECR TECRL ABCA1 ABCB4 CPT2 ECI1 ESRRA G0S2 GRHL1 NRF1 PLIN2 RGL1 SLC27A1 TEAD1 YAP1 PLD1 ATP5B ATP5S PLCB4 PIK3R6 ARSE ARSF ARSH ARSI STS SUMF2 KCNB1 KCNC2 KCNS3 BCHE PGS1 ASAH2 ASAH2B GBA2 UGCG GRHPR LCAT FECH UROD UROS HAL LIPE INPP1 INPP4B INPP5A INPP5B IP6K3 ISYNA1 PLCE1 PLCH1 PLCH2 PPIP5K2 L2HGDH SAT1 AADAT ALDH7A1 GCDH ACER3 CERS3 CMPK1 COL4A3BP CPS1 ETFA FIG4 GC GMPS IMPDH1 ITPA LRPPRC MPC1 MTAP MTMR14 MTMR6 NAGS NDUFS7 NOSTRIN NQO1 NT5C1B NT5C3A ODC1 OTC PDK1 PDK4 PDP1 PIK3C2G PRKD1 SACM1L SCO1 SGMS1 SPTLC2 TPTE UCK2 UPB1 UQCRC1 XDH"
"Metabolism of Angiotensinogen to Angiotensins"	"CMA1 ACE ATP6AP2 CPA3 MME"
"Metabolism of amino acids and derivatives"	"PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 ASMT DBH PNMT TH ALDH18A1 GLS2 MTR MCCC1 BCKDHB HIBADH DLST CKB GRHPR HAL SAT1 AADAT ALDH7A1 GCDH CPS1 MTAP NAGS NQO1 ODC1 OTC"
"Metabolism of carbohydrates"	"RPS27A PRPS1 PRPS1L1 B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN PPP2R1B CALM1 PRKACA PRKACB NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR ST3GAL3 STAB2 PAPSS1 SLC26A2 PC ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2 GCK LCT MGAM SI AGL G6PC3 GAPDHS GCKR GYG2 HK3 NHLRC1 PFKFB1 PGK1 PHKA2 PHKG2 PYGM RPE SLC5A2 SLC5A9"
"Metabolism of lipids and lipoproteins"	"ABCC3 ABCG1 ABCG8 PLA2G4A NFYC MBTPS1 PRKACA PRKACB ACACB CHD9 CREBBP FASN GPAM HMGCR LSS MVK NCOA2 SMARCD3 TBL1XR1 LCLAT1 LPCAT1 PLA2G4D PLA2G4E PNPLA8 MBOAT7 INPP5D PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN SEC24B SEC24C GGT1 HACL1 SLC44A1 SLC44A2 POMC SRD5A3 ALOX15B CYP2C9 CYP4A11 CYP4A22 CYP4F8 EPHX2 GPX1 PTGIS NEU2 EP300 CLOCK NCOR1 NPAS2 RORA ACADS ACADM ACADVL CROT ABCB11 ALB CYP7B1 SLC10A2 APOB CYP11A1 CYP11B1 CYP2R1 FDXR PCCA ARSB HEXA LPIN3 TIAM2 P4HB ACLY NCOR2 LDLR CUBN INPPL1 MED11 MED12 MED13 MED29 NCOA3 LRP2 MTMR4 WWTR1 ACSL1 ACSL4 TECR TECRL ABCA1 ABCB4 CPT2 ECI1 ESRRA G0S2 GRHL1 NRF1 PLIN2 RGL1 SLC27A1 TEAD1 YAP1 PLD1 PIK3R6 ARSE ARSF ARSH ARSI STS SUMF2 BCHE PGS1 ASAH2 ASAH2B GBA2 UGCG LCAT LIPE INPP4B ACER3 CERS3 COL4A3BP FIG4 GC MTMR14 MTMR6 PIK3C2G PRKD1 SACM1L SGMS1 SPTLC2 TPTE"
"Metabolism of nitric oxide"	"AKT1 CALM1 DNM2 WASL NOSTRIN"
"Metabolism of non-coding RNA"	"NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR PRMT5 WDR77 SNRPB GEMIN5"
"Metabolism of nucleotides"	"ADAL GPX1 CAT CMPK1 GMPS IMPDH1 ITPA NT5C1B NT5C3A UCK2 UPB1 XDH"
"Metabolism of polyamines"	"SAT1 MTAP ODC1"
"Metabolism of porphyrins"	"FECH UROD UROS"
"Metabolism of proteins"	"EIF2S1 EIF3D EIF4G1 RPL3L RPL4 RPS13 RPS27A GNB3 CCL2 DCP2 EXOSC5 NFYC PARN HSP90B1 HSPA5 MBTPS1 STX1A CMA1 FURIN MMP1 PLG FBXW7 KIF5C SEC24B SEC24C DDOST POMC SRD5A3 ALG10 ALG12 EDEM1 EDEM2 EDEM3 GNPNAT1 MAN2A2 MANEA MGAT1 MOGS NEU2 RPN2 ST3GAL3 ST6GALNAC1 ST6GALNAC3 ST8SIA2 ST8SIA5 EXOC1 TCP1 AP3M1 ARFGEF2 CCT6A PGAP1 ACTB SEMA5A TLN1 ACADVL ARFGAP1 ARSB EIF2B5 GAS6 PROS1 EEF1A1 ADAMTS14 ADAMTS3 B3GNT3 ADAMTS4 ADAMTS9 ETF1 MYO5A ATP5B ARSE ARSF ARSH ARSI DPH3 STS SUMF2 IGF2 BCHE INHBE CTDSP2 CXXC1 DDX11 HDGF PDIA5 ERO1LB PCSK2 SLC30A8 ACE ATP6AP2 CPA3 MME ADAMTS10 ADAMTS20 ADAMTS6 ADAMTS7 ADAMTSL1 B3GNT8 COX17 GALNT14 GALNT16 GALNT2 GALNT5 GALNT6 GALNTL5 HSPD1 KLK3 LDHD MUC16 MUC17 MUC3A MUC4 MUC5B PAPPA PIGX PLA2G7 PMPCA POFUT2 SAMM50 SEMA5B SENP2 SENP5 SPON1 THBS2 THSD4 THSD7A THSD7B TIMM44 TOMM40 WBSCR17"
"Metabolism of steroid hormones and vitamin D"	"POMC SRD5A3 CYP11A1 CYP11B1 CYP2R1 FDXR CUBN LRP2 GC"
"Metabolism of vitamins and cofactors"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Metabolism of water-soluble vitamins and cofactors"	"ACACB FASN PTGIS MTR MCCC1 PC PCCA CUBN LMBRD1 ACP5 ENPP1 MOCOS NAPRT NMNAT1 SLC23A2 TPK1"
"Metal ion SLC transporters"	"SLC30A8 CP SLC31A1 SLC39A6 SLC39A8"
"Methionine salvage pathway"	"MTAP"
"Methylation"	"MTR"
"MicroRNA (miRNA) biogenesis"	"POLR2A POLR2B AGO1 AGO3 AGO4 TARBP2"
"Miscellaneous substrates"	"CYP4A11 CYP4A22"
"Mismatch Repair"	"POLD1 POLD3 MSH3"
"Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)"	"POLD1 POLD3 MSH3"
"Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)"	"POLD1 POLD3"
"Mitochondrial ABC transporters"	"ABCB6 ABCB7 ABCB8"
"Mitochondrial Fatty Acid Beta-Oxidation"	"ACADS ACADM ACADVL PCCA ECI1"
"Mitochondrial biogenesis"	"CALM1 MAPK12 PRKAG3 CHD9 CREBBP NCOA2 SMARCD3 TBL1XR1 NCOR1 HCFC1 ESRRA NRF1 ATP5B POLRMT TFB2M GABPA PPRC1"
"Mitochondrial iron-sulfur cluster biogenesis"	"FDXR"
"Mitochondrial protein import"	"ATP5B COX17 HSPD1 LDHD PMPCA SAMM50 TIMM44 TOMM40"
"Mitochondrial tRNA aminoacylation"	"QARS FARS2 IARS2 MARS2"
"Mitochondrial transcription initiation"	"POLRMT TFB2M"
"Mitochondrial translation"	"DAP3 GFM2 MRPL20 MRPL3 MRPL47 MRPS35 MTFMT"
"Mitochondrial translation elongation"	"DAP3 MRPL20 MRPL3 MRPL47 MRPS35"
"Mitochondrial translation initiation"	"DAP3 MRPL20 MRPL3 MRPL47 MRPS35 MTFMT"
"Mitochondrial translation termination"	"DAP3 GFM2 MRPL20 MRPL3 MRPL47 MRPS35"
"Mitotic Anaphase"	"RPS27A PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 BUB1B CDC20 CDC27 CENPE KIF18A KIF2C CKAP5 CLASP1 NUP37 NUP43 RANBP2 CLASP2 AHCTF1 ANKLE2 CASC5 CDCA5 CENPI CENPO CLIP1 ESPL1 MIS12 NSL1 RAD21 RCC2 SGOL2 SMC3 SPC24 SPDL1 WAPAL"
"Mitotic G1-G1/S phases"	"RPS27A CUL1 PPP2R1B PSMA1 PSMB10 PSMD2 PSMD4 CCNA1 SKP2 MCM2 MCM4 MCM7 ORC6 TFDP1 POLE CKS1B DYRK1A LIN37 LIN52 LIN54 PKMYT1 PPP2R3B RB1 RBL1 TOP2A"
"Mitotic G2-G2/M phases"	"RPS27A CUL1 PPP2R1B CCNA1 AKAP9 PRKACA DYNC1H1 ALMS1 CCP110 CEP135 CEP290 CKAP5 CLASP1 CNTRL NEDD1 ODF2 PCM1 PCNT SFI1 EP300 FOXM1 LIN37 LIN52 LIN54 NUMA1 PKMYT1 PPP1R12B TUBG2 TUBGCP6"
"Mitotic Metaphase and Anaphase"	"RPS27A PPP2R1B PSMA1 PSMA8 PSMB10 PSMD2 PSMD4 BUB1B CDC20 CDC27 CENPE KIF18A KIF2C CKAP5 CLASP1 NUP37 NUP43 RANBP2 CLASP2 AHCTF1 ANKLE2 CASC5 CDCA5 CENPI CENPO CLIP1 ESPL1 MIS12 NSL1 RAD21 RCC2 SGOL2 SMC3 SPC24 SPDL1 WAPAL"
"Mitotic Prometaphase"	"PPP2R1B BUB1B CDC20 CENPE KIF18A KIF2C CKAP5 CLASP1 NUP37 NUP43 RANBP2 CLASP2 CSNK2A1 AHCTF1 CASC5 CDCA5 CENPI CENPO CLIP1 MIS12 NCAPD2 NCAPH NSL1 RAD21 RCC2 SGOL2 SMC2 SMC3 SMC4 SPC24 SPDL1 WAPAL"
"Mitotic Prophase"	"PPP2R1B MAPK1 PRKCA NEK9 HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR LPIN3 MASTL NCAPH2 RAB1A RAB2A RB1 SMC2 SMC4"
"Mitotic Spindle Checkpoint"	"BUB1B CDC20 CDC27"
"Mitotic Telophase/Cytokinesis"	"KIF23 MAU2 NIPBL RAD21 SMC3 WAPAL"
"Molecules associated with elastic fibres"	"ITGB3 ITGA8 ITGB6 EFEMP2 FBLN1 FBLN2 FBLN5 LTBP1 LTBP4 MFAP3"
"Molybdenum cofactor biosynthesis"	"MOCOS"
"Mucopolysaccharidoses"	"B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN ST3GAL3 STAB2 PAPSS1 SLC26A2 ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2"
"Multifunctional anion exchangers"	"SLC26A2"
"Muscle contraction"	"CALM1 ACTN2 VIM ITGA1 MYH11 TLN1 PXN DMD TTN MYH3 MYH6 ACTG2 LMOD1 MYBPC2 MYLK NEB"
"MyD88 cascade initiated on plasma membrane"	"RPS27A PPP2R1B IL6 JAK2 MAP2K1 MAP2K2 MAPK1 APP DHX9 DUSP6 DUSP7 ECSIT FOS IRAK1 IRAK2 MAP2K4 MAP3K7 MAPK7 NFKBIA RPS6KA5 TAB1 TAB3"
"MyD88 dependent cascade initiated on endosome"	"RPS27A PPP2R1B IL6 JAK2 MAP2K1 MAP2K2 MAPK1 APP DHX9 DUSP6 DUSP7 ECSIT FOS IRAK1 IRAK2 MAP2K4 MAP3K7 MAPK7 NFKBIA RPS6KA5 TAB1 TAB3 TLR9"
"MyD88-independent cascade"	"RPS27A PPP2R1B IL6 JAK2 MAP2K1 MAP2K2 MAPK1 APP DHX9 DUSP6 DUSP7 FADD FOS IRAK1 IRAK2 MAP2K4 MAP3K7 MAPK7 NFKBIA RIPK1 RPS6KA5 TAB1 TAB3 TLR4 TRAF3"
"MyD88:Mal cascade initiated on plasma membrane"	"RPS27A PPP2R1B IL6 JAK2 MAP2K1 MAP2K2 MAPK1 APP BTK DHX9 DUSP6 DUSP7 ECSIT FOS IRAK1 IRAK2 MAP2K4 MAP3K7 MAPK7 NFKBIA RPS6KA5 TAB1 TAB3 TLR1 TLR4"
"Myoclonic epilepsy of Lafora"	"RPS27A PRPS1 PRPS1L1 B3GAT1 BCAN GPC3 GPC4 GPC5 SDC3 VCAN PPP2R1B CALM1 PRKACA PRKACB NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR ST3GAL3 STAB2 PAPSS1 SLC26A2 PC ARSB HEXA CD44 CHPF2 CHST11 CHST15 CSGALNACT1 ACAN B3GNT3 CHP1 CHST5 HAS1 HAS3 HS2ST1 HS6ST1 LUM SLC35D2 GCK LCT MGAM SI AGL G6PC3 GAPDHS GCKR GYG2 HK3 NHLRC1 PFKFB1 PGK1 PHKA2 PHKG2 PYGM RPE SLC5A2 SLC5A9"
"Myogenesis"	"MAPK12 BOC CDH2 CTNNA1 MYF5 MYOG SPAG9"
"N-Glycan antennae elongation"	"ST8SIA2"
"N-glycan antennae elongation in the medial/trans-Golgi"	"MAN2A2 ST8SIA2"
"N-glycan trimming and elongation in the cis-Golgi"	"MANEA MGAT1"
"N-glycan trimming in the ER and Calnexin/Calreticulin cycle"	"EDEM1 EDEM2 EDEM3 MOGS"
"NCAM signaling for neurite out-growth"	"IL6 JAK2 MAP2K1 MAP2K2 MAPK1 RPS6KA5 SOS1 FYN CACNA1C CACNB3 PTK2 SPTAN1 ST8SIA2 COL4A1 COL4A3 COL4A4 COL6A2 COL6A3 COL6A6 CACNA1G CACNA1H CACNA1I CACNA1S CACNB1 CNTN2 GDNF GFRA1 SPTB SPTBN1 SPTBN4"
"NCAM1 interactions"	"CACNA1C CACNB3 ST8SIA2 COL4A1 COL4A3 COL4A4 COL6A2 COL6A3 COL6A6 CACNA1G CACNA1H CACNA1I CACNA1S CACNB1 CNTN2 GDNF GFRA1"
"NEP/NS2 Interacts with the Cellular Export Machinery"	"NUP153 NUP155 NUP205 NUP37 NUP43 NUP50 NUP54 NUP93 RANBP2 TPR BLOC1S6"
"NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10"	"FADD RIPK1"
"NF-kB is activated and signals survival"	"RPS27A IRAK1 NFKBIA"
"NFG and proNGF binds to p75NTR"	"SORCS3"
"NGF processing"	"FURIN"
"NGF signalling via TRKA from the plasma membrane"	"AKT1 RPS6KB2 PPP2R1B BRAF IL6 JAK2 KIDINS220 MAP2K1 MAP2K2 MAPK1 PRKCA DUSP6 DUSP7 MAPK7 RPS6KA5 FGF17 FGF22 CALM1 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 PRKACA PRKACB MAPK12 SOS1 AGO1 AGO3 AGO4 AP2A2 CD80 CLTA DNM2 EGF EGFR ERBB2 ERBB3 ERBB4 FGF19 FGFR3 FGFR4 FYN GAB1 IRS2 ITPR2 ITPR3 MTOR PDGFRA PHLPP1 PIK3CA PIK3CB PIK3CD PIK3R1 PIK3R3 PTEN RICTOR TNRC6B TNRC6C PRKAR1A RHOA PDE1C MAPK13 STAT3 SHC3 RALGDS"
"NICD traffics to nucleus"	"NOTCH1 NOTCH3 CREBBP"
"NOD1/2 Signaling Pathway"	"ITCH IRAK1 IRAK2 MAP3K7 TAB1 TAB3 MAPK12 MAPK13 CYLD TNFAIP3"
"NOSTRIN mediated eNOS trafficking"	"DNM2 WASL NOSTRIN"
"NOTCH1 Intracellular Domain Regulates Transcription"	"RPS27A NOTCH1 CUL1 RBX1 CREBBP TBL1XR1 FBXW7 EP300 NCOR1 NCOR2 HDAC5 HDAC7 HDAC9"
"NOTCH2 Activation and Transmission of Signal to the Nucleus"	"RPS27A APH1A NCSTN CNTN1 JAG2 MIB1 MIB2"
"NOTCH2 intracellular domain regulates transcription"	"EP300"
"NRAGE signals death through JNK"	"RAC1 SOS1 ARHGEF7 ITSN1 KALRN TIAM1 TRIO VAV2 ABR AKAP13 ARHGAP4 ARHGEF16 ARHGEF6 FGD2 OBSCN PLEKHG2 TIAM2"
"NRIF signals cell death from the nucleus"	"RPS27A APH1A NCSTN"
"Na+-dependent glucose transporters"	"SLC5A2 SLC5A9"
"Na+/Cl- dependent neurotransmitter transporters"	"SLC6A14 SLC6A15 SLC6A5"
"Nectin/Necl  trans heterodimerization"	"PVR PVRL2"
"Nef Mediated CD4 Down-regulation"	"AP2A2"
"Nef Mediated CD8 Down-regulation"	"AP2A2"
"Nef and signal transduction"	"PAK2 RAC1 FYN DOCK2"
"Nef mediated downregulation of MHC class I complex cell surface expression"	"AP1G1 B2M HLA-A"
"Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters"	"AP1G1 AP2A2 B2M HLA-A"
"Negative epigenetic regulation of rRNA expression"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB SMARCA5 ARID4B GTF2H1 DNMT1 DNMT3B RRP8 TAF1C"
"Negative regulation of FGFR signaling"	"RPS27A BRAF MAPK1 FGF17 FGF22 FGF19 FGFR3 FGFR4 MKNK1"
"Negative regulation of the PI3K/AKT network"	"AKT1 PHLPP1 PTEN"
"Negative regulators of RIG-I/MDA5 signaling"	"RPS27A ITCH TRAF3 PCBP2 CYLD NLRC5 NLRX1 TAX1BP1 TNFAIP3"
"Nephrin interactions"	"ACTN2 NCK1 FYN PIK3CA PIK3CB PIK3R1 SPTAN1 SPTBN1 WASL ACTN1 CASK IQGAP1 KIRREL MAGI2"
"Netrin mediated repulsion signals"	"FYN PTK2 UNC5A UNC5C UNC5D"
"Netrin-1 signaling"	"NCK1 RAC1 ROBO1 SLIT2 FYN PRKCQ TRPC1 PTK2 ABLIM1 AGAP2 DOCK1 TRIO TRPC5 TRPC6 UNC5A UNC5C UNC5D WASL"
"Neurofascin interactions"	"CNTN1 DCX NFASC NRCAM"
"Neuronal System"	"ABCC9 GNB2 GNB3 GNG8 BRAF MAPK1 CHRNA3 CHRNA4 CHRNB3 CHRND PPFIA1 PPFIA2 PPFIA3 PPFIA4 RIMS1 SNAP25 STX1A SYT1 PLCB1 PLCB2 PRKCA GRIA1 GRIA2 GRIA3 CALM1 DLG1 GRIK3 GRIK4 GRIK5 NCALD KCNJ16 KCNJ3 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 ACTN2 AKAP9 CAMK2A CAMK2B GRIN2A GRIN2D PRKACA PRKACB RASGRF1 RPS6KA6 AP2A2 CACNB3 SLC1A6 SLC1A7 GLS2 CACNB1 KCNMB3 KCNMB4 ABAT CACNA1E CACNA2D1 CACNG2 CACNG4 SYN1 PANX2 GABRA1 GABRA2 GABRA3 GABRA5 GABRB1 KCNB1 KCNC2 KCNS3 GRIP1 BCHE HCN1 HCN2 HCN4 KCNA2 KCNA4 KCNA5 KCNA6 KCNB2 KCNC1 KCNC4 KCND1 KCNF1 KCNH1 KCNH3 KCNH5 KCNH6 KCNH7 KCNH8 KCNK13 KCNK16 KCNQ4 KCNV2"
"Neurophilin interactions with VEGF and VEGFR"	"FLT1"
"Neurotoxicity of clostridium toxins"	"SNAP25 STX1A SYT1 SV2A"
"Neurotransmitter Clearance In The Synaptic Cleft"	"BCHE"
"Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell"	"GNB2 GNB3 GNG8 BRAF MAPK1 CHRNA3 CHRNA4 CHRNB3 CHRND PLCB1 PLCB2 PRKCA GRIA1 GRIA2 GRIA3 CALM1 DLG1 GRIK3 GRIK4 GRIK5 NCALD KCNJ16 KCNJ3 ADCY1 ADCY2 ADCY3 ADCY8 ADCY9 ACTN2 AKAP9 CAMK2A CAMK2B GRIN2A GRIN2D PRKACA PRKACB RASGRF1 RPS6KA6 AP2A2 CACNG2 CACNG4 GABRA1 GABRA2 GABRA3 GABRA5 GABRB1 GRIP1"
"Neurotransmitter Release Cycle"	"PPFIA1 PPFIA2 PPFIA3 PPFIA4 RIMS1 SNAP25 STX1A SYT1 SLC1A6 SLC1A7 GLS2 ABAT SYN1"
"Nicotinamide salvaging"	"PTGIS NAPRT"
"Nicotinate metabolism"	"PTGIS NAPRT NMNAT1"
"Nitric oxide stimulates guanylate cyclase"	"PRKG1 KCNMB3 KCNMB4 NOS1 PDE10A PDE11A PDE3A GUCY1A3 PDE9A"
"NoRC negatively regulates rRNA expression"	"HIST1H2AB HIST1H2BH HIST2H2AC HIST3H2BB SMARCA5 ARID4B GTF2H1 DNMT1 DNMT3B TAF1C"
"Non-integrin membrane-ECM interactions"	"SDC3 PRKCA LAMA3 LAMC2 ITGB4 ITGA2 ITGB3 LAMA1 LAMC1 ACTN1 CASK DAG1 LAMA2 LAMA4 LAMB2 DDR1 DDR2 DMD LAMC3 NRXN1"
"Nonhomologous End-joining (NHEJ)"	"XRCC4 PRKDC"
